Category,News,Cluster
sports,AFCON: Rohr's Fate in the Balance as S/Eagles Seek Redemption in Freetown. As Nigeria's Super Eagles line up against the Leone Stars of Sierra Leone inside the Siaka Stephen Stadium in Freetown,
business,"AfDB President Adeshina Cautions Nigeria Against Increasing Taxes. The President of the African Development Bank (AfDB), Dr. Akinwumi Adesina Tuesday said despite the country's low tax to Gross",
business,"AfDB President Adesina Says Nigeria Needs $15bn Annual Investment to Bridge Infrastructure Gap. President of the African Development Bank Akinwunmi Adesina in a paper, titled â€œNigeria's Economic Resurgence: Learning from the African Experienceâ€",
health,"Africa Surpasses 100,000 Confirmed Covid-19 Death. Africa has surpassed 100,000 confirmed deaths from Covid-19Â as a second wave of infections overwhelms hospitals. Â  Praised for its early",
health,"African Union Begins Distribution of 400 Million Covid Jabs. The African Union has commenced the distribution of 400 million Covid vaccines to member states, South Africa's President Cyril Ramaphosa",
sports,"Sports news: Ahmed Musa Plays Down Sheffield Wednesday Links, Wants Top Flight Football. Super Eagles captain Ahmed Musa has played down reports linking him with a move to English Championship club Sheffield Wednesday,",
business,Air Peace Makes History as First Airline to Land in Nigeria's Southeast Anambra Airport. Air Peace has added another first to its kitty by becoming the first airline to land its aircraft at the,
business,"Air Peace Receives Third Brand New Embraer 195-E2, 10 More Expected By 2022. One of Africa's fastest growing airlines Air Peace on Thursday took delivery of its third brand new Embraer 195-E2 aircraft.",
sports,Sports news: Ajax Crowned Eredivisie Champions After Thumping Win Against Emmen. Ajax were crowned Dutch league champions in emphatic style on Sunday following a 4-0 home thrashing of FC Emmen that,
sports,Sports news: Algeria's Benhammouda Dies in Car Accident Hours After Scoring Against DR Congo. Algeria and USM Alger attacker Billel Benhammouda has died after being involved in a road accident. The 24-year-old was on,
health,Algerian President Returns to Germany to Be Treated for Covid-19 Complications. Algerian President Abdelmadjid Tebboune flew back to Germany on Sunday for treatment in hospital for complications in his foot resulting,
business,"Alibaba Pops 6% After Announcing Plans for a Dual Primary Listing in Hong Kong. This,Â after the Chinese tech giant said it will apply for a dual primary listing in Hong Kong, before paring some",
business,AmazonÂ Blames Inflation as It Increases Cost ofÂ PrimeÂ inÂ Europe. The increases are steeper than the 17 percent jump in the Prime membership price that came into effect for new,
sports,"Sports news: Ambitious Leone Stars Land in Nigeria for Eagles. Nigeria's Super Eagles' opponents in the resumed 2022 Africa Cup of Nations qualifying series, Leone Stars of Sierra Leone have",
business,American Airlines Plans Boeing 737 Max Return by Year-end. American Airlines Group plans to return Boeing 737 Max jets to service for passenger flights by the end of this,
health,Amnesty Blames Top Covid Jab Makers for Vaccine Inequality. Six top manufacturers of the COVID-19 vaccine â€œare fuelling an unprecedented human rights crisis through their refusal to waive intellectual,
business,Analysts Differ on Buhari's Quest for Fresh $6bn External Loan. Financial analysts and the organised private sector on Tuesday expressed mixed feelings over Nigeria's rising public debt following a fresh,
business,"Apple, Hyundai Set to Agree Electric Car Tie-up. Hyundai Motor and Apple Inc plan to sign a partnership deal on autonomous electric cars by March and start production",
sports,"Sports news: Arsenal Lose to Everton After Fans Protest Super League Involvement. Arsenal fell at home to Everton 1-0 in the Premier League on Friday. The match, however, was overshadowed by what",
health,"Asia Accelerates AstraZeneca Covid-19 Vaccine Rollouts, Even as Trust Plunges in Europe. Many Asian countries are accelerating the rollout of AstraZeneca's COVID-19 vaccine after confidence in its safety was hit, following reports",
sports,Sports news: Aston Villa Shock Liverpool in 7-2 Demolition. Ollie Watkins scored a first-half hat-trick and Jack Grealish had a hand in five goals as Aston Villa deservedly stunned,
health,"AstraZeneca 'Agrees to Boost EU Vaccine Supplies'. The EU says UK-Swedish drug firm AstraZeneca will now supply an additional nine million Covid vaccine doses by March, after",
business,"AstraZeneca CEO Soriot Tops FTSE 100 Pay-out Charts in 2020. Pascal Soriot, the chief executive of COVID-19 vaccine maker AstraZeneca, was Britain's highest paid company boss in 2020, a year",
health,"AstraZeneca May Have Used Outdated Info in Vaccine Trial, US Health Officials Say. Results from a US trial of AstraZeneca's COVID-19 vaccine may have used â€œoutdated information,â€ US federal health officials have said.",
health,"AstraZeneca Vaccine Less Effective Against South Africa Variant. AstraZeneca Plc's Covid-19 vaccine has shown limited efficacy against mild disease caused by the variant first identified in South Africa,",
health,AstraZeneca's 'Mistake' in Covid Vaccine Trials Could Halt Approval. AstraZeneca's coronavirus vaccine is coming under intense scrutiny after its UK scientists made a major â€œmistakeâ€ during trials â€” one,
sports,Sports news: Aubameyang Sleeps on Airport Floor in Gambia. Arsenal star Pierre-Emerick Aubameyang and his Gabon team mates were forced to spend the night sleeping on the airport floor,
sports,"Sports news: Aubameyang Stripped of Arsenal Captaincy as Arteta Punishes Disciplinary Breach. Pierre-Emerick Aubameyang has been stripped of the Arsenal captaincy and will not be selected for Wednesday's match against West Ham,",
sports,Sports news: Australian Open: Navratilova Blasts Peng Shuai T-Shirt Ban. Retired tennis star Martina Navratilova has blasted a decision by Australian Open organisers to ban T-shirts supporting Chinese player Peng,
business,"Aviation Fuel Cheaper in Nigeria Than Other West African Countries, Marketers Say. In a fresh revelation, marketers of petroleum products under the aegis of Major Oil Marketers Association of Nigeria (MOMAN) have",
sports,"Sports news: Barcelona President Laporta Says No One Bigger Than Club; Keeping Messi Too Risky. Barcelona president Joan Laporta has said keeping Lionel Messi was too risky to the club's finances as ""the club is",
sports,"Sports news: Bayern Munich 'Disapprove' of Flick's Desire to Leave Coaching Role. Bayern Munich have announced that they ""disapprove"" with coach Hansi Flick's plans to leave the club at the end of",
sports,"Sports news: Bayern Munich Targets US Fans to Close the Financial Gap with Premier League. Bayern's aim is to help stimulate interest in the German league, which is far behind the Premier League in terms",
business,BBC: British American Tobacco Negotiated Bribe for Mugabe. A BBC Panorama investigation has found evidence that suggests one of Britain's biggest companies paid a bribe to the former,
health,"Biden Administration Will Appeal Lifting of Mask Mandate, If CDC Agrees. U.S. President Joe Biden's administration said on Tuesday it would appeal a judge's ruling ending a mask mandate on airplanes",
health,"Biden Puts Forth Virus Strategy, Requires Mask to Travel. As the US enters â€œwhat may well be the toughest and deadliest period of the virus,â€Â President Joe BidenÂ is putting forthÂ a",
business,Biden Rejects New Republican Infrastructure Offer. US President Joe Biden and Republicans entered the weekend sharply at odds over how to craft an infrastructure deal that,
health,Biden Says US Securing 600 Million Vaccine Doses by July. President Joe Biden said Thursday that the US will have enough supply of the Covid-19 vaccine by the end of,
health,"Biden Tests Positive for Covid, Has Mild Symptoms. US President Joe Biden has tested positive for Covid-19, the White House said Thursday.Read more",
health,"Biden Unveils Members of Covid-19 Task Force. US President-elect Joe Biden has named the members of his coronavirus task force, highlighting his pledge to make tackling Covid-19",
health,"Billionaire Nigerian Businessman, Akin-Olugbade, Dies of Covid-19. The Covid-19 pandemic on Wednesday claiming billionaire businessman and legal icon, Chief Bolu Akin-Olugbade. According to family sources, he died",
business,"Billions Blown as Macau Casino Investors Fold Amid Gambling Review. Macau casino operator stocks plummeted by as much as a third on Wednesday, losing around $14 billion in value, as",
business,"Bitcoin Value Drops by 50% Since November Peak. The value of Bitcoin continued to fall over the weekend as it dropped below $34,000 (Â£27,630), according to the Coinbase",
business,"Bob Dylan Sells Entire Song Catalog to Universal Media in Deal Worth Millions of Dollars. Universal Music has struck a deal to buy the rights to Bob Dylan's entire catalogue of 600 songs, from Blowin'",
business,"Boeing Cites Fire Risks in Design of Newest Airbus Jet. Boeing Co has raised concerns over the design of arch-rival Airbus' newest narrow-body jet, the A321XLR, saying a novel type",
sports,Sports news: Boxing Legend 'Marvelous' Marvin Hagler Dies Aged 66. Former undisputed middleweight world champion 'Marvelous' Marvin Hagler has died at the age of 66. The American dominated the middleweight,
health,"Brazil Approves, Rolls out AstraZeneca, Sinovac Vaccines. A nurse has received Brazil's first vaccine dose after health regulators gave emergency approval to two jabs. Regulator Anvisa gave",
sports,Sports news: Brilliant Brentford Beat Arsenal After 75-year Exile From England's Top Flight. Brentford got the better of Arsenal in the first match of the 2021-22 Premier League season at the Community Stadium,
business,"BUA Group, French Company Strengthen Deal on 200,000bpd Refinery Project. The BUA Group and Axens, a France-based petroleum technology company, Wednesday reviewed and signed statements of acknowledgement of the level",
business,Buhari Returns Ownership of Four Oil Blocks to NNPC. Nigeria's President Muhammadu Buhari has approved the restoration of the leases on four Oil Mining Licences to the state-owned petroleum,
business,"Buhari to Attend African Finance Summit in France, to Meet President Macron. Nigeria President Muhammadu Buhari is set to meet France President Emmanuel Macron when he departs for the European nation on",
business,"Bullish Run at Nigerian Stock Exchange Triggered Circuit Breaker as ASI Rose Beyond 5% Threshold. The Nigerian Stock Exchange has announced that a market-wide circuit breaker kicked in Thursday at 12:55p.m, when the NSE All-Share",
health,California to Require Vaccine or Weekly Testing for State Workers. California will require millions of health care workers and state employees to show proof of a COVID-19 vaccination or get,
health,"California's Night-time Covid Curfew Begins, as US Cases Hit 12 Million. California began a night-time curfew on Saturday, in an attempt to curb a surge in coronavirus cases. The western state's",
health,"Canada Authorizes Pfizer Vaccine for Children Aged 12 And Older. Canada's health regulator has authorized Pfizer's COVID-19 vaccine for ages 12 and older. Dr. Supriya Sharma, chief medical adviser at",
business,"Cathay Pacific 'Confident' Despite $637m First-Half Loss. Asian equity markets declined on Wednesday as traders braced for the latest data on US inflation, which could influence the",
health,Cautious Optimism Trails Research Finding on Efficacy of Cannabis against Covid. Medical experts have advised that more time should be given for evaluation of the research study which identified cannabis compounds,
business,"Caverton Group Begins Maintenance of Benin Republic's Presidential Fleet. In a major boost for Nigerian companies, Caverton Group, a major provider of marine, aviation and logistics services, has begun",
business,CBN Clarifies Emefiele's Statement on Conversion of Naira to Dollar. The apex bank said Emefiele warned bank customers against converting the naira to dollars for electioneering purposes.Read more,
business,"CBN Eyes $200bn from Fresh Non-Oil Exports. The Governor of the Central Bank of Nigeria (CBN), Mr. Godwin Emefiele, on Thursday announced a new programme to stimulate",
business,"CBN's Covid Interventions Account for 3.5% of Nigeria's GDP, Emefiele Says. The Governor of the Central Bank of Nigeria (CBN), Mr. Godwin Emefiele, has disclosed that the apex bank's interventions to",
health,"CDC Endorses Covid Booster Shots for Millions of Older Americans. The Centers for Disease Control and Prevention on Thursday endorsed booster shots for millions of older or otherwise vulnerable Americans,",
sports,Champions League Exit Heaps Pressure on Solskjaer Ahead of City Clash. Manchester United boss Ole Gunnar Solskjaer faces the unenviable task of eliciting a response from his team in Saturday's Premier,
sports,"Champions League Final: Havertz, Kante Key in Chelsea Victory against Man City. Every Manchester City fan I spoke to outside the ground in Porto after their defeat in the Champions League final",
sports,Champions League Holders Bayern Low on Defenders Ahead of Red Bull Clash. Holders Bayern Munich are short on defenders for Wednesday's home Champions League match against Red Bull Salzburg with Niklas Suele,
sports,Champions League: Havertz Goal Lifts Chelsea Over City as Londoners Secure Second Trophy. Chelsea have won the Champions League for the second time in their history as a Kai Havertz goal was enough,
sports,"Champions League: Messi Scores Twice, Including Panenka, in PSG Comeback Win. Lionel Messi scored twice as Paris St-Germain came from behind to beat RB Leipzig in the Champions League. Kylian Mbappe",
sports,"Champions League: Messi's PSG to Face Man City, Champions Chelsea Play Ronaldo's Juventus. Manchester City have been drawn against Paris Saint-Germain in group stages of the 2021-22 Champions League, setting up a possible",
sports,Champions League: Ramos to Miss Real Madrid's Opener with Shakhtar. Sergio Ramos will miss Real Madrid's clash with Shakhtar Donetsk in the Champions League while Eden Hazard's fitness is improving,
sports,Sports news: Chelsea 0-0 Man United: Blues Miss Top Four Chance With Goalless Draw. Chelsea missed the chance to climb back into the Premier League's top four after grinding out a goalless draw with,
sports,Sports news: Chelsea Given Mount Injury Scare Ahead of Champions League Semi-final with Madrid. Mason Mount has given Chelsea a scare after suffering a back injury ahead of their Champions League semi-final second leg,
sports,Sports news: Chelsea Poised to Extend Thiago Silva's Stay at Stamford Bridge. Thiago Silva's impressive start at Chelsea looks set to convince the club to take up the option to extend the,
sports,"Sports news: Chelsea Preparing to Formally Withdraw from European Super League â€“ Sky Sports. English Premiership side Chelsea are preparing documents to formally withdraw from the European Super League, Sky News is reporting. Owner",
sports,"Sports news: Chelsea's Mendy in 'Speedy Reunion' with Former Club Rennes. Chelsea boss Frank Lampard said on Tuesday that ""low-maintenance"" goalkeeper Edouard Mendy can get even better despite keeping five consecutive",
health,"China Approves Homegrown Covid-19 Vaccine for General Use. China has approved its first homegrown Covid-19 vaccine for general use, marking the addition of another vaccine in the global",
health,China Disease Expert Says Covid Origins Probe Should Shift to US. A senior Chinese epidemiologist said the United States should be the priority in the next phase of investigations into the,
business,"China Evergrande Readies Funds for Interest Payment, Set to Avert Default. China Evergrande Group has supplied funds to pay interest on a U.S. dollar bond, a person with direct knowledge of",
business,"China Evergrande Sells Entire Stake in Streaming Platform HengTen to Ease Debt Burden. China Evergrande Group is selling its entire stake in streaming services firm HengTen Network Group for HK$2.13 billion ($273.5 million),",
health,"China in Talks with WHO over its Locally-produced COVID-19 Vaccines. China is in talks to have its locally-produced COVID-19 vaccines assessed by the World Health Organization, as a step toward",
business,China Launches Antitrust Probe into Tech Giant Alibaba. China has launched an antitrust investigation into Alibaba Group and will summon the technology giant's Ant Group affiliate to meet,
business,"China Leads Auto Industry Recovery as Sales Top Expectations. China's vehicle sales are likely to hit 25 million units this year, an industry body said on Friday, as the",
business,China Property Shares Slide as Evergrande Crisis Reverberates. Shares of Chinese real estate firms fell further on Thursday as investors fretted about a debt crisis rippling through developers,
health,"China Tests Millions after Coronavirus Flare-ups in Three Cities. Chinese authorities are testing millions of people, imposing lockdowns and shutting down schools after multiple locally transmitted coronavirus cases were",
business,China's Alibaba Tries to Maintain New York Listing Amid Audit Controversy. US regulators are seeking full access to audit working papers of Chinese companies listed in New York that are stored,
business,China's Economic Growth Slows to Still-robust 7.9%. China's economic growth slowed to a still-strong 7.9% over a year earlier in the three months ending in June as,
business,"China's Exports Surge On Hot Demand For PPE, Remote Working Tech. China's exports rose at the fastest pace in almost three years in November, as strong global demand for goods needed",
health,"China's Sinovac Covid Vaccine to Be Included in Brazil Immunisation Plan. Brazil plans to use a Chinese-made coronavirus vaccine as part of a national immunisation programme, officials have announced. SÃ£o Paulo",
business,Chinese Gaming Stocks Tumble after Regulators Summon Firms. Chinese gaming and media stocks including Tencent Holdings and NetEase fell on Thursday a day after authorities summoned them and,
health,Cholera Looms as Refuse Heaps Litter Abuja. Residents of Nigeria's Federal Capital Territory (FCT) have continued to express fear of the possibility of the outbreak of cholera,
health,"Citing Safety, Nigeria Bars Private Sector from Administering Covid-19 Vaccines. Nigeria's federal government has barred the private sector from administering Covid-19 vaccines, reserving the vaccination exclusively for the National Primary",
business,"Civil Unrest Hurting Nigeria's Outlook, IMF Warns. The International Monetary Fund (IMF) on Thursday expressed concern about the civil unrest in Lagos and some other parts of",
business,Coca-Cola Nigeria Announces Alfred Olajide as New Managing Director. The Coca-Cola Company has appointed Alfred Olajide as its new Vice President and Managing Director for its Nigeria Operations following,
business,"Concerns Mount as British Airways, Emirates Cancel Flights to US over 5G. International airlines are beginning to cancel scheduled flights to most cities in the Unites States over fear of 5G network",
sports,Sports news: Confident Super Eagles Land in Cape Verde for Qatar 2022 Qualifier. The Super Eagles' contingent for Tuesday's FIFA World Cup Qatar 2022 qualifying tango with the Blue Sharks of Cape Verde,
business,"Continue VAT Collection in All States, Nigeria's Finance Minister Directs FIRS. Nigeria's Minister of Finance, Budget and National Planning, Zainab Ahmed, has directed the Federal Inland Revenue Service (FIRS) to continue",
sports,Sports news: Copa America Left without Hosts 13 Days from Start after Argentina Stripped of Rights. The 2021 Copa America has been left without a host less than two weeks before it starts after Argentina was,
sports,Sports news: Copa America: Neymar Inspires Brazil to 4-0 Win over Peru. Neymar moved to within nine goals of Pele's all-time scoring record as Brazil eased past Peru to earn a second,
health,"Coronavirus: US Starts Huge Vaccine Delivery Operation. The US has begun delivering the Pfizer/BioNTech Covid-19 vaccine ""across all states"" with the aim of inoculating more than 100",
business,"Countries with Huge Debts Vulnerable to Financial Crises, Recession, IMF Warns. The International Monetary Fund (IMF) has warned that economies with large external debts could be vulnerable to financial crises and",
health,"Covid Common in Pet Cats and Dogs, Study Finds. Covid is common in pet cats and dogs whose owners have the disease, research suggests. Swabs were taken from 310",
health,"Covid: Fauci Says US Heading in Wrong Direction as Cases Rise. The US is heading ""in the wrong direction"" on the coronavirus pandemic as infections surge among the unvaccinated, the country's",
health,Covid: France Brings in Booster Requirement for Over 65s. Over-65s in France will soon only be allowed to travel or visit restaurants and museums if they have a Covid,
health,"Covid: Medical Academy Advises Nigeria to Shut Airports after Finding Indian Variant. The Academy of Medicine Specialties, together with its Rapid-Response initiative group, has advised Nigeria's federal government to shut the country's",
health,Covid: Nigeria Approves $14m for 37 Oxygen Plants. Nigeria's Federal Executive Council (FEC) on Wednesday approved the establishment of an oxygen production plant in each of the 36,
health,Covid: Several Countries Reintroduce Restrictions Amid Struggle to Contain Delta Variant. Authorities in several countries â€“ from Bangladesh and Indonesia to Australia and Israel â€“ are racing to contain the spread,
health,Covid-19 Origins: China Rejects WHO Proposal to Return to Wuhan. China has rejected a proposal from the World Health Organization (WHO) that the expert team investigating the origins of COVID-19,
health,"Covid-19 Virus 'Survives on Phones, Banknotes for 28 Days'. The virus responsible for Covid-19 can remain infectious on surfaces such as banknotes, phone screens and stainless steel for 28",
health,Covid-19: Isolation Centres Prepare for Reopening as Fear of 'Second Wave' Hits Nigeria. The Nigerian government has directed health workers to be on red alert and has asked Covid-19 treatment centres across the,
health,Covid-19: Israel Starts Reopening as Number of Those Vaccinated Nears 50%. Israel reopened swathes of its economy on Sunday in what it called the start of a return to routine enabled,
health,Covid-19: Madagascar Begins Inoculations to Suppress Second Wave. Madagascar has started vaccinating its population against COVID-19. The first phase of the campaign is focusing on frontline staff such,
health,"Covid-19: Nigeria Records All-time High Daily Infections, Plans Mass Vaccination in January. With 930 confirmed cases of Covid-19 on Wednesday, Nigeria recorded its worst single-day numbers of the deadly virus that has",
health,"Covid-19: Nigeria Releases $25m for Local Vaccine Production. Nigeria's Minister of Health, Osagie EhanireÂ says one out of every five persons tested in the last one week turned out",
health,Covid-19: US Allows Emergency Use of Antibody Drug Regeneron. US officials have granted emergency authorisation for an experimental antibody treatment given to President Trump after his Covid-19 diagnosis. The,
health,Covid-19: US Reports First Known Case of Highly-infectious Variant. The first reported US case of the highly-infectious Covid-19 variant that emerged in the UK has been confirmed in the,
health,"Covid-19: Vaccinated People Need Not Quarantine, US Health Officials Say. People who have received the full course of Covid-19 vaccines can skip the standard 14-day quarantine after exposure to someone",
health,"Covid-19:Â Tanzania not Planning to Import Vaccine, Chooses Local Herbs. Reports suggestÂ TanzaniaÂ has no plans to import Covid-19 vaccines, and willÂ instead pinÂ its hopes on research into â€œlocal herbsâ€. In an interview",
health,"Covid-Shaming Pits Neighbours Against Each Other In Locked-Down Shanghai. The tensions of lockdown have exposed divisions among Shanghai residents, pitting young against old, locals against outsiders, and above all,",
sports,Sports news: Cristiano Ronaldo Becomes Football's All-time Top Goalscorer. Cristiano Ronaldo has officially become football's all-time leading goalscorer surpassing Joseph Bican for the most goals scored for club and,
sports,Sports news: Crystal Palace 1-4 Chelsea: Pulisic Scores Twice as Brilliant Blues Move Back into Top Four. Christian Pulisic scored twice as Chelsea produced a brilliant performance to move back into the top four with a comfortable,
sports,"Sports news: Czechs Stun 10-man Netherlands 2-0, Breeze Into Euro 2020 Quarterfinals. Czech Republic produced an impressive 2-0 victory over Netherlands to make the Euro 2020 quarterfinals on Sunday. Tomas Holes and",
sports,Sports news: David Alaba's Move to RealÂ Madrid in Doubt as Defender'sÂ Father Denies Agreement withÂ Los Blancos. David Alaba's fatherÂ George Alaba hasÂ thrown a spanner into the works by suggesting that BarcelonaÂ are still in the mix and that,
business,Deloitte To Shut Four UK Office. Global accounting and consulting firm Deloitte will close four of its 50 British offices as it reviews its real estate,
health,"Denmark Reports Death, Critical Illness after AstraZeneca Vaccinations, Prompting More Reviews. Denmark reported on Saturday that two people had experienced brain hemorrhages after receiving the AstraZeneca Covid-19 vaccine, one of whom",
business,"Despite Contradictions, Buhari Describes NNPC's $697m Net Profit as Jinx Broken. The presidency says for the first time in the history of Nigeria, President Muhammadu Buhari broke a giant-sized jinx when",
business,"Despite Emergency Oil Releases, Omicron Fears, OPEC Sticks to 400,000bpd Supply Hike. Despite concerns over the new Covid-19 variant, Omicron, and recent emergency oil reserves releases by a United States-led coalition, the",
business,"Despite Widespread Outcry, Nigeria to Borrow More for Railways Expansion. Nigeria's Minister of Transportation, Mr. Rotimi Amaechi, on Monday unfolded plans by the federal government to take more Chinese loans",
health,"Dispiriting Setback: Covid Deaths, Cases Rise Again Globally. Covid-19 deaths and cases are on the rise again globally in a dispiriting setback that is triggering another round of",
sports,"Sports news: Djokovic Likely to Skip Australian Open Over Vaccine Mandate, Says Father. Novak Djokovic is unlikely to play at the Australian Open if rules on COVID-19 vaccinations are not relaxed, the world",
sports,"Sports news: Djokovic Wins 4th Wimbledon in a Row, 21st Grand Slam. Serbian Novak Djokovic has won the 2022 Wimbledon final against larger than life character Nick Kyrgios.Read more",
sports,"Sports news: Djokovic Wins Record 9th Australian Open, Claims 18th Grand Slam. Novak Djokovic continued his dominance inÂ Melbourne ParkÂ after sealingÂ his third consecutive Australian Open title byÂ overwhelming anÂ irritated Daniil Medvedev to win a",
sports,"Sports news: Djokovic's Detention Becomes Political Issue in Australia. On a tennis court, Novak Djokovic's timing is perfect. But when he arrived in Australia to play the first Grand",
sports,"Sports news: Dominant Chelsea Ease Past Tottenham with Three Second-half Goals. An impressive Chelsea earned a deserved 3-0 win at Tottenham on Sunday thanks to second-half goals from Thiago Silva, N'Golo",
health,DR Congo and Guinea Recruit Participants to Test Early-stage Covid Drug. Participants in the Democratic Republic of Congo and Guinea are being recruited to test a new drug to treat people,
health,DR Congo AnnouncesÂ End of Ebola Outbreak. The Democratic Republic of Congo has saidÂ it is now Ebola-free after more than 40 days without a case. The latest,
business,"EASA Certifies Caverton To Commence Training For AW139 Helicopter. The European Union Aviation Safety Agency (EASA) has certified Caverton Helicopters, a subsidiary of Caverton Offshore Support Group (COSG), to",
business,"Ecobank Announces Tier 1 Capital Increase of $75m Via Arise Investment. Ecobank Transnational Incorporated, the LomÃ© based parent company of the Ecobank Group, has announced a capital increase of $75 million",
business,Economic Reforms Chief: Alex Okoh Re-appointed DG BPE By President Buhari. President Muhammadu Buhari has re-appointed Alex Okoh as the Director-General of Nigeria's Bureau of Public Enterprises for a second four-year,
sports,"Sports news: Eguavoen, Others Sacked as Super Eagles' Technical Crew Disbanded. Following the failure of the Super Eagles of Nigeria to qualify for the 2022 FIFA World Cup, the erstwhile Technical",
sports,Sports news: Egypt's Al Ahly Beat Kaizer Chiefs 3-0 to Win Record Tenth African Crown. Egyptian heavyweights Al Ahly beat Kaizer Chiefs 3-0 in Morocco on Saturday night to become the first side in history,
business,"Ekiti Has Attracted Over $100m Investment in Three Years, Governor Fayemi Says. Governor of Nigeria's Ekiti State, Dr. Kayode Fayemi, has disclosed that his administration had attracted over $100 million investment to",
sports,Sports news: Eleven Ajax Players Test Positive for Covid-19. Ajax Amsterdam could be without several key players after 11 squad members tested positive for Covid-19 ahead of tonight's Champions,
health,"Elon Musk Questions Accuracy of Covid-19 Tests, Says He 'Most Likely' Has Moderate Case. Tesla Inc Chief Executive Officer Elon Musk said on Saturday he â€œmost likelyâ€ has a moderate case of Covid-19, as",
business,Elon Musk Says He Supports Top Dogecoin Holders Selling Their Coins. Billionaire Elon Musk said on Sunday that he supports major holders of the meme-based digital currency dogecoin selling most of,
